0,64,64,0,32,0,0,0,0,0,0,64,0,0,0,32,0,129,193,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,376,6100,27800,100
21,28,50,0,14,28,21,7,0,94,21,79,65,21,14,14,7,28,347,0,159,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,37,18,5,511,10100,102800,100
6,0,71,0,123,19,19,12,64,25,38,45,12,0,175,6,6,103,136,32,51,0,116,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,6,6,0,0,1,14,0,28,18,1,982,48500,225900,100
0,0,0,0,63,0,31,63,31,63,31,31,31,0,0,31,0,0,318,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,354,4000,19100,100
0,0,0,0,63,0,31,63,31,63,31,31,31,0,0,31,0,0,318,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,0,354,4000,19100,100
0,0,0,0,185,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,300,1500,5400,100
0,0,0,0,192,0,0,0,0,64,96,128,0,0,0,96,0,32,385,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,5,0,167,400,11200,100
0,0,0,0,188,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,245,1100,4900,100
15,0,46,0,61,0,30,0,92,76,76,92,0,0,0,0,0,15,123,353,200,0,0,15,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,27,0,18,20,2,974,44500,125700,100
6,12,77,0,19,32,38,0,6,0,0,64,25,0,12,0,0,12,167,6,71,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,3,0,24,8,0,173,4300,74900,100
0,0,0,0,0,0,96,0,0,192,96,0,0,0,0,0,0,96,384,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,46,0,0,131,600,2100,100
0,0,25,0,38,25,25,0,0,0,12,12,12,0,0,0,0,0,116,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,66,0,0,124,1100,18400,100
