22,5,8,9,13,4,0,1,4,1,22,0,40,38,0
33,4,8,9,13,2,3,0,4,1,0,0,13,38,0
21,2,22,11,9,0,5,1,4,1,0,0,40,38,0
36,2,23,1,7,2,5,0,2,1,0,0,40,38,0
11,2,34,9,13,2,9,5,2,0,0,0,40,4,0
20,2,28,12,14,2,3,5,4,0,0,0,40,38,0
32,2,16,6,5,3,7,1,2,0,0,0,16,22,0
35,4,21,11,9,2,3,0,4,1,0,0,45,38,1
14,2,5,12,14,4,9,1,4,0,141,0,50,38,1
25,2,16,9,13,2,3,0,4,1,52,0,40,38,1
20,2,28,15,10,2,3,0,2,1,0,0,80,38,1
13,5,14,9,13,2,9,0,1,1,0,0,40,18,1
6,2,12,9,13,4,0,3,4,0,0,0,30,38,0
15,2,21,7,12,4,11,1,2,1,0,0,50,38,0
17,2,25,5,4,2,13,0,0,1,0,0,45,25,0
8,4,18,11,9,4,4,3,4,1,0,0,35,38,0
15,2,19,11,9,4,6,4,4,1,0,0,40,38,0
21,2,3,1,7,2,11,0,4,1,0,0,50,38,0
26,4,29,12,14,0,3,4,4,0,0,0,45,38,1
23,2,19,10,16,2,9,0,4,1,0,0,60,38,1
37,2,30,11,9,5,7,4,2,0,0,0,20,38,0
18,0,8,6,5,2,4,0,2,1,0,0,40,38,0
26,2,12,1,7,2,13,0,4,1,0,2042,40,38,0
42,2,11,11,9,0,12,4,4,0,0,0,40,38,0
39,1,22,9,13,2,12,0,4,1,0,0,40,38,1
2,2,17,11,9,4,2,3,4,1,0,0,40,38,0
22,2,37,11,9,0,3,1,4,1,0,0,80,38,0
32,2,19,11,9,2,2,0,4,1,0,0,40,38,0
6,1,19,7,12,4,10,1,4,1,0,0,52,38,0
3,2,27,15,10,4,11,3,2,1,0,0,44,38,0
28,2,39,9,13,0,3,3,4,1,0,1408,40,38,0
13,0,6,15,10,2,0,3,4,1,0,0,40,38,0
5,5,31,15,10,2,7,0,2,1,0,0,15,38,0
31,2,24,1,7,4,6,4,4,1,0,0,40,32,0
4,2,20,15,10,4,6,3,4,1,0,0,40,38,0
2,2,54,11,9,1,0,5,4,0,0,0,25,38,0
31,4,27,7,12,2,9,0,4,1,0,0,40,38,0
14,2,51,6,5,2,6,0,4,1,0,0,43,38,0
36,4,9,9,13,2,9,0,4,1,0,0,40,38,0
7,2,17,9,13,2,12,0,4,1,0,0,50,38,0
32,2,9,11,9,5,0,4,4,0,0,0,40,38,0
8,2,29,11,9,4,5,1,4,1,0,0,35,38,0
40,0,34,9,13,2,9,0,2,1,0,0,40,38,1
36,2,14,11,9,2,6,0,4,1,0,0,38,38,0
27,2,13,12,14,0,3,4,4,0,0,0,40,38,0
24,5,10,8,11,2,2,0,4,1,0,0,40,38,0
12,2,27,8,11,4,9,1,4,1,0,0,43,38,0
8,2,3,15,10,2,3,5,3,0,0,0,40,38,0
30,2,5,14,15,2,9,5,4,0,0,1902,60,15,1
33,0,25,9,13,0,3,1,4,1,0,0,55,38,1
30,3,11,11,9,0,3,1,4,1,0,0,60,38,0
26,2,24,15,10,2,12,0,4,1,0,0,40,38,1
29,2,22,4,3,2,6,0,4,1,0,0,40,25,0
18,2,6,8,11,2,7,0,4,1,0,0,40,32,0
24,2,15,11,9,2,0,0,4,1,0,0,48,38,0
13,2,19,11,9,2,6,0,4,1,50,0,40,38,0
13,2,6,9,13,2,11,0,4,1,24,0,40,38,0
31,2,15,11,9,2,13,0,4,1,0,0,40,38,0
25,2,12,10,16,2,9,0,4,1,0,0,45,38,1
12,2,11,15,10,0,12,1,4,1,0,0,58,38,0
19,2,16,11,9,2,2,0,4,1,0,0,40,38,0
11,2,18,15,10,0,0,1,4,0,0,0,40,38,0
36,2,17,11,9,2,0,5,4,0,0,0,40,38,1
32,3,19,15,10,2,3,0,4,1,0,0,50,38,1
2,2,10,15,10,4,9,3,4,1,0,0,32,38,0
14,2,31,9,13,5,11,3,2,0,0,0,40,38,0
12,4,16,9,13,2,11,0,4,1,0,0,70,38,1
6,2,21,15,10,4,6,1,4,1,0,0,40,38,0
62,2,12,15,10,2,9,2,4,1,0,0,20,38,0
10,2,21,11,9,4,7,3,4,1,0,0,40,25,0
23,2,3,7,12,2,0,0,4,1,0,0,40,38,0
1,2,31,1,7,4,7,3,4,0,0,0,22,38,0
14,1,13,5,4,2,4,0,4,1,0,0,40,38,0
1,2,45,11,9,4,11,1,4,1,0,0,30,38,0
35,2,28,9,13,2,7,0,4,1,0,0,40,4,0
29,2,5,11,9,2,7,5,4,0,0,0,40,38,0
42,2,16,11,9,2,11,0,4,1,0,0,48,38,0
27,2,34,11,9,0,2,1,4,0,143,0,40,38,1
36,2,35,11,9,0,11,3,4,0,0,0,35,38,0
